id,title_en,title_de,language,faculty,cp,level,level_band,kind,primary_cluster,secondary_clusters,topic_tags,competencies,module_code,source,source_url,description_en,notes
etit-modellierung-mit-populationsbilanzen,,Modellierung mit Populationsbilanzen,de,FEIT,3,Master,core,course,sim_num,,population balance; modeling; disperse systems; numerical methods,Recognize population-dynamic mechanisms in disperse systems; Formulate and analyze population-balance models mathematically; Solve population balances with specialized numerical methods; Apply population-balance results to process design and operation,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Course on formulating, analyzing and numerically solving population-balance models for disperse systems in particle and bioprocess engineering.",
etit-modellierung-und-expertensysteme-in-der-elektris,,Modellierung und Expertensysteme in der elektrischen,de,FEIT,3,Master,core,course,energy_sustain,ml_ai,expert systems; power grids; modeling; fuzzy logic,Build physical models for power-grid calculations and simulations; Model switching devices and travelling-wave phenomena in grids; Develop expert systems for power-supply problem solving; Apply fuzzy techniques and neural networks in knowledge-based systems,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,Course on modeling electrical power grids and building knowledge-based expert systems using fuzzy techniques and neural networks.,
etit-modellierung-von-bioprozessen,,Modellierung von Bioprozessen,de,FEIT,120,Master,core,course,sim_num,energy_sustain,process modeling; bioprocesses; matlab; numerical integration,Build mathematical models of biotechnological processes; Formulate mass balances and reaction-kinetic equations for bioreactors; Solve differential model equations using numerical integration; Estimate model parameters from experimental data; Implement bioprocess models in Matlab programs,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Mathematical modelling of biotechnological processes with mass balances, reaction kinetics and Matlab-based numerical solution and parameter estimation.",
etit-molekulares-modellieren,,Molekulares Modellieren,de,FEIT,3,Master,core,course,sim_num,mech_mat,molecular modeling; molecular dynamics; monte carlo; simulation,Apply molecular modeling tools across spatial and temporal scales; Use Monte-Carlo methods for equilibrium and dynamic simulations; Run molecular-dynamics simulations of diffusion and nucleation; Match process-engineering problems to adequate models and numerical methods,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Course teaching molecular modeling and simulation as an engineering tool using Monte-Carlo, molecular-dynamics and quantum-mechanical methods.",
etit-nonlinear-control,Nonlinear Control,Nonlinear Control,en,FEIT,3,Master,advanced,course,robotics,sim_num,nonlinear control; lyapunov stability; passivity,"Describe and model nonlinear systems; Analyze nonlinear system dynamics and stability; Apply Lyapunov, BIBO stability and passivity concepts; Design controllers for nonlinear systems via input-output linearization",,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,"Teaches modeling, stability analysis and controller design for nonlinear systems using Lyapunov theory, passivity and input-output linearization.",
etit-nonlinear-systems,Nonlinear Systems,Nichtlineare Systeme,de,FEIT,3,Master,advanced,course,sim_num,,nonlinear systems; control theory; lyapunov stability; state space,Describe and analyze nonlinear dynamic systems in state space; Investigate stability using direct and indirect Lyapunov methods; Interpret energy- and passivity-based system descriptions; Design nonlinear controllers via backstepping and input-output linearization,,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,Teaches analysis and control of nonlinear dynamic systems in state space using Lyapunov methods and nonlinear controller design.,
etit-optimal-control,Optimal Control,Optimal Control,en,FEIT,120,Master,advanced,course,sim_num,robotics,optimal control; dynamic programming; model predictive control,Formulate and analyze constrained optimal control problems; Apply dynamic programming and the Hamilton-Jacobi-Bellman equation; Use variational calculus and Pontryagin's maximum principle; Derive numerical solutions for optimal control problems,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Introduces formulation, theory and numerical solution of constrained optimal control problems for dynamic systems across many applications.",
etit-pattern-recognition,Pattern Recognition,Mustererkennung,de,FEIT,3,Master,core,course,ml_ai,data_eng,pattern recognition; machine learning; deep learning; classification,"Carry out a complete pattern recognition task from data to interpretation; Apply linear and nonlinear classifiers and Bayes classification; Use clustering, self-organizing maps and information fusion; Apply deep learning and transfer learning to recognition problems",,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,"Teaches machine learning, deep learning and information fusion to carry out complete pattern recognition tasks in industrial and medical applications.",
etit-photovoltaic-systems,Photovoltaic Systems,Photovoltaic Systems,en,FEIT,3,Master,core,course,energy_sustain,,photovoltaics; solar energy; grid integration,Assess solar resources for electrical power generation; Understand solar-electrical energy conversion principles; Design photovoltaic systems; Address grid connection and storage integration requirements,,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,"Teaches assessment of solar resources, working principles of PV systems and design of photovoltaic systems including grid and storage integration.",
etit-power-electronic-circuits,Power Electronic Circuits,Schaltungen der Leistungselektronik,de,FEIT,3,Master,core,course,energy_sustain,sim_num,power electronics; converters; circuit design; control,Develop complex power-electronic circuits from basic topologies; Explain operation of self-commutated and line-commutated converters; Dimension power-electronic circuits for specific applications; Model control strategies for power-electronic circuits,,Modulhandbuch M.Sc. Wirtschaftsingenieurwesen EIT (PDF),,"Teaches the design, dimensioning and control of complex power-electronic circuits including resonant and bridge converter topologies.",
etit-power-electronic-components-and-systems,Power Electronic Components and Systems,Power Electronic Components and Systems,en,FEIT,3,Master,core,course,energy_sustain,mech_mat,power semiconductors; igbt; reliability,"Characterize power semiconductor components such as IGBT, MOSFET and diodes; Understand packaging and assembly of power components; Dimension component stress in power supply and drive systems; Assess reliability in power electronic systems",,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,"Covers power semiconductor components and their interaction with power supply and drive systems, including dimensioning and reliability.",
etit-power-electronic-systems,Power Electronic Systems,Systeme der Leistungselektronik,de,FEIT,3,Master,core,course,energy_sustain,mobility,power electronics; renewable energy; electromobility; hvdc,Apply power-electronic circuits within complex systems; Design power-electronic systems for renewable energy feed-in; Engineer power electronics for electric vehicles and drives; Dimension HVDC and storage interface systems,,Modulhandbuch M.Sc. Mechatronik (PDF),,"Covers power-electronic systems for renewable energy supply and electromobility, including drives, chargers, HVDC and storage.",
etit-power-electronics,Power Electronics,Power Electronics,en,FEIT,3,Master,core,course,energy_sustain,software_sys,power electronics; converters; rectifiers,"Analyze power electronic converter circuits; Design choppers, rectifiers and self-commutated bridges; Understand DC-link and H-bridge converter topologies; Apply power electronics to electrical drive and supply systems",,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,"Covers fundamental power electronic circuits including choppers, bridges and rectifiers with methods and applications in electrical engineering.",
etit-power-network-planning-and-operation,Power Network Planning and Operation,Operative Systemführung elektrischer Netze,de,FEIT,3,Master,advanced,course,energy_sustain,innovation_mgmt,power networks; grid operation; system management; energy markets,"Explain operational mechanisms of power network system management; Identify actors and interactions in technical and market domains; Apply regulatory frameworks to network operator tasks; Manage congestion, voltage control and grid restoration processes",,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,"Covers operational system management of electrical power networks including regulatory frameworks, grid operation and planning processes.",
etit-power-system-analysis,Power System Analysis,Power System Analysis (previously Power Network Planning (and,en,FEIT,3,Master,core,course,energy_sustain,sim_num,power systems; power flow; grid stability,Model power grid topology and equipment in modal components; Perform power flow and short-circuit calculations; Carry out state estimation for power systems; Analyze small-signal and transient grid stability; Model power grids with MATLAB,,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,"Teaches steady-state and quasi-steady-state algorithms to model power grids for planning, including power flow, stability and state estimation.",
etit-power-systems-1-steady-state-analysis,Power Systems 1: steady-state analysis,Elektrische Netze 1 - Stationäre Netzberechnung,de,FEIT,3,Master,core,course,energy_sustain,sim_num,power systems; load flow; state estimation; grid modeling,Model electrical equipment for steady-state power system analysis; Perform load-flow and short-circuit calculations; Apply state estimation to power networks; Compute power network behaviour using MATLAB,,Modulhandbuch M.Sc. Wirtschaftsingenieurwesen EIT (PDF),,"Covers steady-state analysis of electrical power networks including equipment modeling, load-flow and short-circuit calculation in MATLAB.",
etit-power-systems-control-and-optimization,,Power Systems Control and Optimization,en,FEIT,3,Master,advanced,course,energy_sustain,sim_num,power systems; optimal power flow; control; optimization,Explain fundamentals of automatic power system operation; Perform stability analysis and design power system control laws; Formulate and solve power system optimization problems; Solve economic dispatch and unit commitment problems; Compute optimal power flow and frequency/voltage control,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Automatic operation, stability control and optimization of electrical power systems, including economic dispatch and optimal power flow.",
etit-process-control,Process Control,Process Control,en,FEIT,3,Master,core,course,robotics,sim_num,process control; pid tuning; multivariable control,Apply multivariable and decentralized process control methods; Tune and implement PID controllers; Select control configurations for multi-unit processes; Use MATLAB for computer-aided control system design,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Covers multivariable process control with emphasis on decentralized control, PID tuning and plantwide control via simulation case studies.",
etit-project,Project,Project,en,FEIT,5,Master,core,project,methods_skills,,scientific writing; project work; literature survey,Analyze the state of science and technology; Develop scientific project ideas and specifications; Perform a market analysis; Write and structure a scientific project report; Defend project results in oral presentations,,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,"Project seminar teaching scientific working methods, literature survey, good citation practice and scientific report writing in electrical engineering.",
etit-prozessleittechnik-ii,,Prozessleittechnik II,de,FEIT,3,Master,advanced,course,industry40,software_sys,process control; distributed automation; automation systems; integration,Design and build distributed digital automation systems; Plan integration of diverse automation components; Apply automation and information technologies in process control; Interpret abstract automation and information models; Develop functional automation systems,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Design and construction of distributed digital automation systems, integrating automation and information technologies for process control.",
etit-prozesssimulation,,Prozesssimulation,de,FEIT,3,Master,core,course,sim_num,,process simulation; aspen plus; flowsheet; process design,"Perform steady-state and dynamic process simulation in Aspen Plus/Dynamics; Model unit operations such as reactors, columns and heat exchangers; Configure recycle streams and overall process flowsheets; Evaluate alternative process variants for conceptual process design",,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,Course on conceptual process design via steady-state and dynamic simulation of chemical processes using Aspen Plus and Aspen Dynamics.,
etit-qualifikationsziele-und,Qualifikationsziele und,Forschungsprojekt,both,FEIT,3,Master,advanced,project,methods_skills,,research project; scientific work; colloquium,Work on a guided scientific research task at a chair; Acquire subject expertise and recognize relationships; Develop solutions through independent scientific work; Present results in a final report and colloquium,,Modulhandbuch M.Sc. Mechatronik (PDF),,Supervised research project in the Mechatronics master where students address a scientific task and present results in a colloquium.,
etit-radar-technology,Radar Technology,Radartechnik,de,FEIT,3,Master,core,course,robotics,mobility,radar; object detection; signal processing; sensing,"Explain concepts for object detection, ranging and angular positioning; Describe the operation of primary and secondary radar systems; Apply signal processing methods for radar; Assess physical propagation effects in radar systems",,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,"Covers radar concepts and systems for object detection, ranging and positioning including the required signal processing and propagation effects.",
etit-rechnerbasierter-reglerentwurf,,Rechnerbasierter Reglerentwurf,de,FEIT,3,Master,advanced,course,sim_num,,control design; robust control; matlab; lmi,Design and implement controllers computationally in Matlab/Simulink; Auto-tune centralized and decentralized PI/PID controllers; Design robust multivariable controllers via H-infinity and mu-synthesis; Synthesize controllers using linear matrix inequalities and real-time implementation,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Course on computer-aided control design and implementation in Matlab/Simulink, covering robust multivariable and real-time controllers.",
etit-renewable-electricity-sources-system-analysis,Renewable Electricity Sources - System Analysis,Regenerative Elektroenergiequellen - Systembetrachtung,de,FEIT,3,Master,core,course,energy_sustain,,renewable energy; smart grid; grid integration; energy storage,"Assess the impact of renewable sources on the energy supply system; Evaluate photovoltaic, wind and hydro power generation; Analyze grid integration of decentralized renewable generators; Incorporate storage and fuel cells into smart grid concepts",,Modulhandbuch M.Sc. Wirtschaftsingenieurwesen EIT (PDF),,Examines electricity generation from renewable sources and its integration into the overall energy system and smart grids.,
etit-renewable-energy-sources,Renewable Energy Sources,Renewable Energy Sources,en,FEIT,3,Master,introductory,course,energy_sustain,,renewable energy; energy storage; grid integration,Explain energy conversion of renewable energy sources; Understand the regulatory framework for renewables; Address grid integration challenges of renewable energy; Evaluate energy storage possibilities and limitations,,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,"Introduces energy conversion of wind, photovoltaic, biomass and fuel cells with their regulatory framework and grid integration challenges.",
etit-research-project,Research Project,Forschungsprojekt,both,FEIT,3,Master,advanced,project,methods_skills,,research project; scientific work; colloquium,Independently work on and solve a scientific research problem; Recognize scientific relationships within a research question; Document results in a scientific final report; Present and defend findings in a colloquium,,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,Scientific research project in which students independently address a research question and document and defend results in a colloquium.,
etit-research-project-interdisciplinary-team-project,,Research Project / Interdisciplinary Team Project,en,FEIT,3,Master,core,project,methods_skills,,research project; teamwork; scientific work; presentation,Solve a research problem independently as an individual or team; Acquire subject-specific skills needed to tackle a problem; Decompose a problem into manageable sub-problems; Derive and document a suitable scientific solution; Present and defend results in a colloquium,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,Team or individual research project in which students independently solve a scientific problem and present the results in a colloquium.,
etit-robotersysteme,,Robotersysteme,de,FEIT,3,Master,core,course,robotics,sim_num,robotics; robot control; drive systems; kinematics,"Design, model and control robot drive systems; Describe spatial robot motion with Denavit-Hartenberg coordinates; Build dynamic models of robotic systems; Program robot controllers and cascade drive control; Conduct experimental investigations on robot systems",,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Design, modelling, control and programming of robot drive systems, including dynamic models and experimental robot investigations.",
etit-seminar-cognitive-systems,Seminar Cognitive Systems,Seminar Kognitive Systeme,de,FEIT,3,Master,core,seminar,ml_ai,hci,cognitive systems; artificial intelligence; language modeling; intelligent systems,Apply principles of cognitive intelligence in practical programs; Build models of acoustic and written language as representation models; Implement cognitive systems in engineering applications; Handle meaning assignment and data in cognitive systems,,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,A seminar on the practical application of cognitive intelligent systems including language modeling and realization in engineering systems.,
etit-seminar-systems-theory-and-control-engineering,Seminar Systems Theory and Control Engineering,Seminar Systemtheorie und Regelungstechnik,both,FEIT,2,Master,advanced,seminar,methods_skills,robotics,control theory; seminar; scientific literature,Analyze advanced systems theory and control concepts mathematically; Research and synthesize scientific literature on a special topic; Develop proofs and theoretical arguments independently; Communicate results and give constructive peer feedback,,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,"Seminar on advanced systems theory and control engineering topics requiring literature research, mathematical analysis and scientific presentation.",
etit-seminar-system-on-chip,Seminar „System-on-Chip“,Seminar „System-on-Chip“,en,FEIT,3,Master,advanced,seminar,methods_skills,software_sys,system-on-chip; seminar; literature search,Search and classify scientific literature on SoC topics; Develop research questions from the state of the art; Present acquired knowledge systematically; Gain insight into current System-on-Chip research,,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,Seminar where students survey the state of the art of a System-on-Chip research topic and present it through scientific literature work.,
etit-sensor-applications,Sensor Applications,Sensorapplikationen,de,FEIT,5,Master,advanced,project,robotics,design_plm,sensors; measurement; microcontroller; project,"Design, build and test sensor-based systems for given tasks; Acquire and process measurement data with microcontrollers; Select and evaluate sensors by working principle for application domains; Document and present a two-semester practical sensor project",,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,"Two-semester practical project designing, building and testing sensor systems with microcontroller-based data acquisition and evaluation.",
etit-simulation-of-mechanical-processes,,Simulation of Mechanical Processes,en,FEIT,3,Master,advanced,course,sim_num,manufacturing,particle technology; simulation; population balance; comminution,Characterize disperse particle systems with statistical material properties; Analyze stochastic and dynamic particle conversion processes; Apply multiscale modeling and population balances to comminution and separation; Evaluate and design particle-processing process systems,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Advanced course on multiscale modeling and simulation of stochastic, dynamic mechanical particle processes such as comminution and separation.",
etit-simulation-und-steuerung-regelung-der-biol-abwas,,Simulation und Steuerung/Regelung der biol. Abwasserreinigung,de,FEIT,2,Master,advanced,course,sim_num,energy_sustain,dynamic simulation; wastewater treatment; activated sludge model; process control,Build dynamic simulation models of wastewater treatment plants; Apply activated sludge models (ASM3) to biological treatment; Calibrate and verify plant models with simulation software; Design measurement and oxygen control concepts for treatment plants; Combine steady-state design with dynamic simulation,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Dynamic simulation and control of biological wastewater treatment using activated sludge models for reliable, economic plant operation.",
etit-speicherprogrammierbare-steuerungen,,Speicherprogrammierbare Steuerungen,de,FEIT,3,Master,core,lab,industry40,robotics,plc; automation; motion control; drive control,Explain tasks and application fields of programmable logic controllers; Design binary control circuits for asynchronous machines; Program PLC-controlled drive systems; Implement machine and plant control with PLCs; Control motion-control systems with stored-program drive control,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Structure and programming of programmable logic controllers for binary control and drive automation, with hands-on programming exercises.",
etit-state-estimation,State Estimation,State Estimation,en,FEIT,4,Master,core,course,robotics,sim_num,state estimation; kalman filter; observers,"Assess observability of process models; Design Luenberger observers for LTI systems; Implement Kalman, extended and unscented Kalman filters; Tune state estimation algorithms for linear and nonlinear systems",,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,Introduces model-based state estimation and measurement systems with emphasis on Luenberger observers and Kalman filter variants.,
etit-statistische-planung-und-auswertung-von-versuche,,Statistische Planung und Auswertung von Versuchen,de,FEIT,3,Master,core,course,methods_skills,data_eng,design of experiments; statistics; regression,Evaluate experimental production data with statistical methods; Perform regression and correlation analysis for linear and nonlinear models; Determine confidence intervals of model parameters; Set up factorial and central composite designs of experiments,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Course on statistical evaluation of experimental data, regression analysis and design of experiments for first- and second-order models.",
etit-stromversorgungstechnik,,Stromversorgungstechnik,de,FEIT,3,Master,core,course,energy_sustain,mobility,power supply; power electronics; electromobility; renewable energy,"Implement power-electronic circuits in complex power-supply systems; Design power supplies for renewable generation and electric vehicles; Dimension power-electronic systems application-specifically; Apply HVDC, storage and charging-system concepts in electromobility",,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Course on power-electronic systems for power supply, covering renewable generation, HVDC, storage and electric-vehicle charging.",
etit-strukturelle-und-funktionale-analyse-von-zellula,,Strukturelle und funktionale Analyse von zellulären Netzwerken,de,FEIT,3,Master,advanced,course,sim_num,data_eng,network analysis; graph theory; systems biology; boolean networks,Model cellular networks using graph and hypergraph theory; Perform metabolic network analysis with elementary modes and cut sets; Model regulatory and signalling networks with Boolean networks; Compute structural and statistical network measures; Apply software tools for computational analysis of biochemical networks,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Structural and qualitative modelling and analysis of cellular networks using graph theory, Boolean networks and metabolic network methods.",
etit-stromungsmechanik-ii,,Strömungsmechanik II,de,FEIT,4,Master,advanced,course,sim_num,,fluid mechanics; turbulence; multiphase flow; compressible flow,"Analyze and compute complex flows in process engineering apparatus; Treat compressible flows with friction, heat transfer and shock waves; Model laminar and turbulent boundary layers and turbulence; Analyze multiphase and non-Newtonian fluid flows",,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Advanced fluid mechanics course on complex flows including compressible, turbulent, multiphase and non-Newtonian flow phenomena.",
etit-system-integration-of-power-electronics,System Integration of Power Electronics,Systemintegration von Leistungselektronik,de,FEIT,3,Master,advanced,seminar,energy_sustain,sim_num,power electronics; system integration; hardware-in-the-loop; simulation,"Address system integration questions for power electronics; Quantify interactions between power electronics and the surrounding system; Apply modeling, simulation and hardware-in-the-loop methods; Represent a complete system including power-electronic assemblies and control",,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,"A seminar on system integration of power electronics using modeling, simulation and hardware-in-the-loop for renewable energy and electromobility.",
etit-system-on-chip,System-on-Chip,System-on-Chip,en,FEIT,3,Master,core,course,software_sys,,system-on-chip; network-on-chip; design space exploration,Define the structure of application-specific SoCs; Evaluate hardware architecture design alternatives; Perform design space exploration with simulation tools; Select and parameterize optimization methods for chip design,,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,"Covers structure and hardware architecture of System-on-Chips, on-chip communication networks and design space exploration with optimization.",
etit-systems-and-control,Systems and Control,Systems and Control,en,FEIT,3,Master,core,course,robotics,sim_num,control systems; feedback control; state feedback,Mathematically describe and analyze dynamic systems; Design feedback control systems in time and frequency domain; Apply the root locus and frequency response methods; Design state variable feedback and observers,,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,"Introduces analysis of dynamic systems and design of feedback control using frequency-domain, time-domain and state-space techniques.",
etit-technical-cognitive-systems,Technical Cognitive Systems,Technische Kognitive Systeme,de,FEIT,3,Master,advanced,course,ml_ai,hci,cognitive systems; artificial intelligence; cognitive modeling; intelligent systems,Explain principles of cognitive intelligence and their computer transfer; Work with cognitive model architectures; Implement meaning assignment and data handling in assistive systems; Realize cognitive system concepts in practical programs,,Modulhandbuch M.Sc. Wirtschaftsingenieurwesen EIT (PDF),,Conveys advanced concepts of technical cognitive intelligent systems and their practical realization in engineering applications.,
etit-unsicheres-wissen,,Unsicheres Wissen,de,FEIT,90,Master,core,course,ml_ai,robotics,bayesian networks; estimation; kalman filter; uncertainty,Apply concepts for handling uncertain knowledge in modelling and decisions; Develop and parametrise Bayesian networks; Perform inference over Bayesian networks; Apply stochastic estimation theory; Use Wiener and Kalman filters for state estimation,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Concepts and methods for reasoning under uncertainty, covering Bayesian networks, stochastic estimation and Wiener/Kalman filtering.",
etit-voice-user-interfaces,Voice User Interfaces,Sprachdialogsysteme,de,FEIT,3,Master,core,course,hci,ml_ai,voice user interfaces; dialogue systems; vxml; speech assistants,Explain concepts and methods of automatic dialogue systems; Represent knowledge in speech grammars; Build voice dialogues in VXML and Amazon Alexa skills; Evaluate strengths and weaknesses of voice user interfaces,,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,Teaches design and implementation of voice user interfaces and dialogue systems using VXML and modern speech assistants.,
etit-wind-energy,Wind Energy,Windenergie,de,FEIT,3,Master,core,course,energy_sustain,sim_num,wind energy; wind turbines; renewable energy; grid integration,Explain the physics and conversion principles of wind energy; Design wind turbines using aerofoil theory; Calculate power curves and part-load behaviour of wind turbines; Assess grid integration and economics of wind power plants,,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,"Covers conversion, design and grid integration of wind turbines for electricity generation including aerodynamics and economics.",
etit-windenergie,,Windenergie,de,FEIT,3,Master,core,course,energy_sustain,,wind energy; wind turbines; renewable energy; grid integration,Explain the physics and conversion principles of wind energy; Design wind turbines using airfoil theory and performance curves; Compute partial-load behavior and power characteristics of turbines; Analyze grid integration and economic viability of wind farms,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Course on wind energy conversion, wind turbine design and components, and the technical and economic aspects of grid integration.",
fin-103805,Advanced Database Models,,en,FIN,6,Master,advanced,course,data_eng,,databases; nosql; data modeling; query processing,"Distinguish relational and non-relational database models; Design databases using object-oriented and semi-structured models; Apply non-relational DBMS capabilities to applications; Formulate queries with OQL, XPath/XQuery and SQL:2003; Develop applications on non-relational databases",FIN-INF-103805,FIN BookStack (bookstack.cs.ovgu.de),https://bookstack.cs.ovgu.de/books/msc-digital-engineering-ab-sommer-2026/page/advanced-database-models,"Advanced study of non-relational database models, their concepts, query languages and application development on non-relational DBMS.",
fin-120491,Advanced Interactive Information Organization,,en,FIN,6,Master,advanced,seminar,data_eng,hci; methods_skills,information retrieval; nlp; scientific writing,"Apply IR, NLP and HCI approaches in practice; Conduct a state-of-the-art literature review; Write a scientific paper on an information-organization topic; Present and defend a hands-on research project",FIN-INF-120491,FIN BookStack (bookstack.cs.ovgu.de),https://bookstack.cs.ovgu.de/books/msc-digital-engineering-ab-sommer-2026/page/advanced-interactive-information-organization,"Seminar where students write a scientific paper and present a hands-on project in information retrieval, NLP or HCI.",
fin-120277,Advanced Topics in Databases,,en,FIN,6,Master,advanced,course,data_eng,,databases; main-memory; indexing; nosql,Assess state-of-the-art solutions in database research; Apply advanced database implementation techniques; Work with main-memory database algorithms; Apply storage and indexing techniques for NoSQL systems,FIN-INF-120277,FIN BookStack (bookstack.cs.ovgu.de),https://bookstack.cs.ovgu.de/books/msc-digital-engineering-ab-sommer-2026/page/advanced-topics-in-databases,"Advanced, research-driven course on current database topics such as main-memory algorithms, heterogeneous processing and NoSQL storage techniques.",
fin-120496,Advanced Topics in Deep Learning (Master),,en,FIN,6,Master,advanced,seminar,ml_ai,methods_skills,deep learning; research; ml pipelines,Read and analyze current deep learning research papers; Apply deep learning to a specific application domain; Build domain-specific deep learning pipelines; Work on server infrastructure in a research team; Present scientific results in written and oral form,FIN-INF-120496,FIN BookStack (bookstack.cs.ovgu.de),https://bookstack.cs.ovgu.de/books/msc-digital-engineering-ab-sommer-2026/page/advanced-topics-in-deep-learning-master,Advanced seminar applying current deep learning research to build domain-specific pipelines and present scientific results in teams.,
fin-120518,Advanced Topics in Networking,,en,FIN,6,Master,advanced,course,software_sys,,networking; blockchain; overlay networks; congestion control,Explain advanced networking concepts to others; Apply overlay and peer-to-peer networking techniques; Understand distributed hash tables and blockchains; Reason about congestion control protocols like QUIC; Analyze secure network architectures,FIN-INF-120518,FIN BookStack (bookstack.cs.ovgu.de),https://bookstack.cs.ovgu.de/books/msc-digital-engineering-ab-sommer-2026/page/advanced-topics-in-networking-zi3,"Advanced networking course covering overlay networks, distributed hash tables, blockchains, smart contracts and modern congestion control.",
fin-120503,AMS Lab Projects,,en,FIN,6,Master,core,project,methods_skills,robotics; ml_ai,team project; robotics; sensor processing,Collaborate in teams to solve technical challenges; Manage a project and define goals and milestones; Acquire domain knowledge to derive solutions; Document and present project work and achievements,FIN-INF-120503,FIN BookStack (bookstack.cs.ovgu.de),https://bookstack.cs.ovgu.de/books/msc-digital-engineering-ab-sommer-2026/page/ams-lab-projects,"Team and individual lab projects on research topics such as robotics, sensor data processing, navigation and industrial machine learning.",
fin-120279,Applied Discrete Modelling,,en,FIN,6,Master,core,course,sim_num,data_eng,stochastic modeling; markov chains; simulation,Model and simulate Markov and non-Markovian stochastic processes; Apply solution methods for Markov chains; Work with hidden Markovian and non-Markovian models; Implement and program stochastic model classes; Solve modelling problems from medicine and engineering,FIN-INF-120279,FIN BookStack (bookstack.cs.ovgu.de),https://bookstack.cs.ovgu.de/books/msc-digital-engineering-ab-sommer-2026/page/applied-discrete-modelling,"Course on discrete stochastic modelling with Markov chains, hidden models and proxel simulation applied to medicine and engineering problems.",
fin-120432,Clean Code Development,,en,FIN,6,Master,advanced,course,software_sys,methods_skills,clean code; software engineering; best practices,Apply Clean Code Development principles and practices; Select and adapt suitable software concepts for a project; Use modern software engineering tools and techniques; Distribute tasks and collaborate in a development team,FIN-INF-120432,FIN BookStack (bookstack.cs.ovgu.de),https://bookstack.cs.ovgu.de/books/msc-digital-engineering-ab-sommer-2026/page/clean-code-development,"Advanced software engineering course teaching Clean Code Development principles, modern tools and collaborative development practices.",
fin-110472,Computer Graphics - an Introduction,,en,FIN,6,Master,introductory,course,viz,,computer graphics; rendering; ray tracing,"Explain core concepts of computer graphics; Implement a simple rendering program; Apply transformations, clipping and rasterization; Implement lighting, texturing and ray tracing techniques",FIN-INF-110472,FIN BookStack (bookstack.cs.ovgu.de),https://bookstack.cs.ovgu.de/books/msc-digital-engineering-ab-sommer-2026/page/computer-graphics-an-introduction,"Introductory computer graphics course covering modeling, transformations, rasterization, lighting, texturing and ray tracing with programming tasks.",
